sales_date,order_id,product_name,category,price,quantity,total,discount,shipping_fee,total_sales,customer_name,customer_address,channel,rating,status
2025-01-01,P00022,Sabun Cuci,Pembersih,5000,2,10000,"0,15",12000,20500,Oki,Bekasi,Online - Toko Oren,3,Returned
2025-01-01,P00023,Kopi,Makanan,25000,3,75000,"0,15",15000,78750,Widi,Semarang,Offline,4,Returned
2025-01-01,P00024,Teh,Makanan,15000,2,30000,"0,15",10000,35500,Udin,Depok,Offline,4,Pending
2025-01-01,P00025,Teh,Makanan,15000,2,30000,"0,15",0,25500,Vira,Bandung,Offline,3,Pending
2025-01-01,P00026,Shampo,Perawatan,20000,2,40000,"0,15",12000,46000,Nanda,Bogor,Online - Toko Oren,3,Pending
2025-01-01,P00027,Kopi,Makanan,25000,2,50000,"0,15",12000,54500,Lia,Bogor,Online - Toko Hijau,4,Pending
2025-01-01,P00028,Deterjen,Pembersih,10000,3,30000,"0,15",30000,55500,Udin,Samarinda,Offline,2,Pending
2025-01-01,P00029,Teh,Makanan,15000,3,45000,"0,15",15000,53250,Petrus,Jakarta,Online - Toko Oren,2,Failed
2025-01-01,P00030,Sabun Cuci,Pembersih,5000,1,5000,"0,15",18000,22250,Pandu,Yogyakarta,Online - Toko Oren,4,Returned
2025-01-01,P00031,Pasta Gigi,Perawatan,15000,3,45000,"0,15",13000,51250,Dina,Tangerang,Offline,3,Success
2025-01-01,P00032,Kopi,Makanan,25000,1,25000,"0,15",25000,46250,Nico,Bali,Online - Toko Hijau,5,Failed
2025-01-01,P00033,Minyak Goreng,Makanan,18000,3,54000,"0,15",15000,60900,Nico,Semarang,Offline,3,Returned
2025-01-01,P00034,Sabun Cuci,Pembersih,5000,1,5000,"0,15",12000,16250,Tina,Bogor,Online - Toko Oren,2,Returned
2025-01-01,P00035,Sabun Mandi,Pembersih,7000,1,7000,"0,15",22000,27950,Fadli,Makassar,Offline,3,Failed
2025-01-01,P00036,Pembersih Wajah,Perawatan,12000,1,12000,"0,15",20000,30200,Tina,Malang,Online - Toko Oren,4,Success
2025-01-01,P00037,Sabun Mandi,Pembersih,7000,1,7000,"0,15",22000,27950,Nadia,Makassar,Online - Toko Hijau,1,Returned
2025-01-01,P00038,Shampo,Perawatan,20000,2,40000,"0,15",12000,46000,Ulya,Bogor,Offline,5,Returned
2025-01-01,P00039,Sabun Mandi,Pembersih,7000,1,7000,"0,15",18000,23950,Tegar,Yogyakarta,Online - Toko Hijau,2,Returned
2025-01-01,P00040,Pasta Gigi,Perawatan,15000,1,15000,"0,15",20000,32750,Andi,Surabaya,Offline,3,Pending
2025-01-01,P00041,Pembersih Lantai,Pembersih,8000,3,24000,"0,15",12000,32400,Gina,Bogor,Online - Toko Hijau,1,Returned
2025-01-01,P00042,Pasta Gigi,Perawatan,15000,1,15000,"0,15",12000,24750,Eka,Bekasi,Online - Toko Hijau,1,Returned
2025-01-01,P00043,Minyak Goreng,Makanan,18000,2,36000,"0,15",12000,42600,Meli,Bogor,Online - Toko Hijau,1,Pending
2025-01-01,P00044,Teh,Makanan,15000,2,30000,"0,15",20000,45500,Mutiara,Malang,Offline,2,Success
2025-01-01,P00045,Minyak Goreng,Makanan,18000,1,18000,"0,15",12000,27300,Yusuf,Bogor,Online - Toko Hijau,1,Failed
2025-01-01,P00046,Pembersih Lantai,Pembersih,8000,1,8000,"0,15",20000,26800,Putri,Surabaya,Online - Toko Hijau,3,Failed
2025-01-01,P00047,Shampo,Perawatan,20000,2,40000,"0,15",12000,46000,Jamil,Bekasi,Offline,5,Failed
2025-01-01,P00048,Pembersih Lantai,Pembersih,8000,2,16000,"0,15",22000,35600,Meli,Makassar,Offline,1,Pending
2025-01-01,P00049,Pembersih Lantai,Pembersih,8000,3,24000,"0,15",15000,35400,Vera,Jakarta,Online - Toko Hijau,4,Pending
2025-01-02,P00050,Sabun Mandi,Pembersih,7000,3,21000,0,15000,36000,Herry,Semarang,Online - Toko Hijau,1,Success
2025-01-02,P00051,Deterjen,Pembersih,10000,2,20000,0,12000,32000,Ulya,Bogor,Online - Toko Hijau,5,Failed
2025-01-02,P00052,Pembersih Lantai,Pembersih,8000,1,8000,0,18000,26000,Kenny,Yogyakarta,Online - Toko Hijau,4,Returned
2025-01-02,P00053,Sabun Cuci,Pembersih,5000,3,15000,0,25000,40000,Stefan,Bali,Online - Toko Hijau,4,Returned
2025-01-02,P00054,Shampo,Perawatan,20000,2,40000,0,20000,60000,Jamil,Surabaya,Offline,4,Success
2025-01-02,P00055,Pembersih Wajah,Perawatan,12000,1,12000,0,12000,24000,Lia,Bogor,Online - Toko Oren,1,Success
2025-01-02,P00056,Minyak Goreng,Makanan,18000,1,18000,0,18000,36000,Meli,Yogyakarta,Online - Toko Hijau,5,Failed
2025-01-02,P00057,Pembersih Lantai,Pembersih,8000,2,16000,0,15000,31000,Mutiara,Semarang,Online - Toko Oren,3,Pending
2025-01-02,P00058,Sabun Cuci,Pembersih,5000,2,10000,0,13000,23000,Cindy,Tangerang,Offline,5,Failed
2025-01-02,P00059,Deterjen,Pembersih,10000,3,30000,0,20000,50000,Nanda,Malang,Online - Toko Hijau,4,Returned
2025-01-02,P00060,Pembersih Wajah,Perawatan,12000,1,12000,0,25000,37000,Kiki,Bali,Online - Toko Hijau,5,Pending
2025-01-02,P00061,Pembersih Lantai,Pembersih,8000,3,24000,0,18000,42000,Arief,Yogyakarta,Offline,1,Pending
2025-01-02,P00062,Teh,Makanan,15000,1,15000,0,20000,35000,Zara,Malang,Online - Toko Hijau,2,Failed
2025-01-02,P00063,Minyak Goreng,Makanan,18000,3,54000,0,15000,69000,Hendra,Semarang,Online - Toko Hijau,2,Returned
2025-01-02,P00064,Sabun Cuci,Pembersih,5000,2,10000,0,30000,40000,Pandu,Samarinda,Online - Toko Oren,1,Failed
2025-01-02,P00065,Deterjen,Pembersih,10000,2,20000,0,13000,33000,Yusra,Tangerang,Online - Toko Oren,3,Success
2025-01-02,P00066,Shampo,Perawatan,20000,2,40000,0,18000,58000,Gita,Palembang,Online - Toko Hijau,3,Success
2025-01-02,P00067,Pasta Gigi,Perawatan,15000,3,45000,0,30000,75000,Krisna,Samarinda,Online - Toko Oren,1,Pending
2025-01-02,P00068,Sabun Cuci,Pembersih,5000,2,10000,0,15000,25000,Yuni,Jakarta,Online - Toko Hijau,5,Failed
2025-01-02,P00069,Kopi,Makanan,25000,2,50000,0,22000,72000,Fikri,Makassar,Offline,2,Failed
2025-01-02,P00070,Sabun Mandi,Pembersih,7000,1,7000,0,10000,17000,Gandhi,Depok,Online - Toko Oren,3,Pending
2025-01-02,P00071,Deterjen,Pembersih,10000,1,10000,0,20000,30000,Beni,Malang,Online - Toko Hijau,5,Success
2025-01-02,P00072,Shampo,Perawatan,20000,3,60000,0,13000,73000,Vian,Tangerang,Online - Toko Oren,5,Failed
2025-01-02,P00073,Sabun Cuci,Pembersih,5000,1,5000,0,22000,27000,Sari,Makassar,Online - Toko Hijau,3,Success
2025-01-02,P00074,Pembersih Lantai,Pembersih,8000,1,8000,0,13000,21000,Widi,Tangerang,Online - Toko Oren,1,Returned
2025-01-02,P00075,Sabun Cuci,Pembersih,5000,3,15000,0,0,15000,Ocha,Bandung,Offline,5,Returned
2025-01-02,P00076,Kopi,Makanan,25000,3,75000,0,25000,100000,Anisa,Medan,Offline,5,Failed
2025-01-02,P00077,Shampo,Perawatan,20000,1,20000,0,0,20000,Wira,Bandung,Online - Toko Hijau,2,Pending
2025-01-02,P00078,Pembersih Lantai,Pembersih,8000,1,8000,0,13000,21000,Widi,Tangerang,Online - Toko Hijau,1,Failed
2025-01-02,P00079,Sabun Mandi,Pembersih,7000,3,21000,0,30000,51000,Lina,Samarinda,Offline,3,Pending
2025-01-02,P00080,Pembersih Lantai,Pembersih,8000,3,24000,0,20000,44000,Mira,Surabaya,Offline,3,Pending
2025-01-02,P00081,Sabun Mandi,Pembersih,7000,3,21000,0,25000,46000,Luki,Bali,Online - Toko Hijau,2,Success
2025-01-02,P00082,Sabun Mandi,Pembersih,7000,1,7000,0,18000,25000,Juli,Yogyakarta,Online - Toko Hijau,4,Failed
2025-01-02,P00083,Minyak Goreng,Makanan,18000,1,18000,0,18000,36000,Udin,Palembang,Online - Toko Oren,4,Failed
2025-01-02,P00084,Pembersih Lantai,Pembersih,8000,2,16000,0,10000,26000,Nico,Depok,Offline,3,Returned
2025-01-02,P00085,Minyak Goreng,Makanan,18000,2,36000,0,15000,51000,Aulia,Semarang,Online - Toko Oren,3,Pending
2025-01-02,P00086,Pembersih Wajah,Perawatan,12000,2,24000,0,13000,37000,Vina,Tangerang,Online - Toko Oren,4,Pending
2025-01-02,P00087,Sabun Mandi,Pembersih,7000,1,7000,0,18000,25000,Oki,Palembang,Online - Toko Hijau,4,Failed
2025-01-02,P00088,Kopi,Makanan,25000,1,25000,0,18000,43000,Bintang,Palembang,Online - Toko Hijau,1,Success
2025-01-02,P00089,Pembersih Lantai,Pembersih,8000,1,8000,0,30000,38000,Widi,Samarinda,Online - Toko Oren,2,Failed
2025-01-02,P00090,Pasta Gigi,Perawatan,15000,3,45000,0,18000,63000,Santi,Palembang,Offline,3,Pending
2025-01-02,P00091,Pembersih Wajah,Perawatan,12000,3,36000,0,20000,56000,Zahra,Malang,Offline,2,Failed
2025-01-02,P00092,Shampo,Perawatan,20000,3,60000,0,25000,85000,Arief,Medan,Online - Toko Oren,4,Success
2025-01-02,P00093,Kopi,Makanan,25000,3,75000,0,0,75000,Hendra,Bandung,Online - Toko Hijau,5,Success
2025-01-02,P00094,Deterjen,Pembersih,10000,3,30000,0,18000,48000,Dina,Yogyakarta,Online - Toko Hijau,2,Success
2025-01-02,P00095,Sabun Mandi,Pembersih,7000,3,21000,0,20000,41000,Chandra,Malang,Online - Toko Hijau,4,Returned
2025-01-02,P00096,Shampo,Perawatan,20000,2,40000,0,18000,58000,Widi,Palembang,Offline,4,Success
2025-01-02,P00097,Pembersih Wajah,Perawatan,12000,2,24000,0,25000,49000,Maya,Bali,Offline,1,Pending
2025-01-02,P00098,Pasta Gigi,Perawatan,15000,3,45000,0,25000,70000,Oto,Bali,Online - Toko Hijau,1,Success
2025-01-02,P00099,Kopi,Makanan,25000,3,75000,0,13000,88000,Gandhi,Tangerang,Online - Toko Hijau,4,Returned
2025-01-02,P00100,Shampo,Perawatan,20000,2,40000,0,15000,55000,Vina,Jakarta,Offline,5,Failed
2025-01-02,P00101,Teh,Makanan,15000,1,15000,0,30000,45000,Jamil,Samarinda,Online - Toko Hijau,2,Pending
2025-01-02,P00102,Pasta Gigi,Perawatan,15000,2,30000,0,15000,45000,Elisa,Jakarta,Online - Toko Oren,3,Failed
2025-01-02,P00103,Minyak Goreng,Makanan,18000,2,36000,0,18000,54000,Iwan,Palembang,Offline,5,Pending
2025-01-02,P00104,Sabun Cuci,Pembersih,5000,2,10000,0,30000,40000,Joko,Samarinda,Online - Toko Oren,1,Returned
2025-01-02,P00105,Sabun Mandi,Pembersih,7000,1,7000,0,20000,27000,Wira,Surabaya,Online - Toko Oren,1,Returned
2025-01-02,P00106,Kopi,Makanan,25000,1,25000,0,12000,37000,Citra,Bogor,Online - Toko Hijau,2,Success
2025-01-02,P00107,Pembersih Lantai,Pembersih,8000,3,24000,0,13000,37000,Vian,Tangerang,Online - Toko Hijau,4,Returned
2025-01-02,P00108,Pasta Gigi,Perawatan,15000,3,45000,0,18000,63000,Yusuf,Palembang,Online - Toko Oren,2,Failed
2025-01-03,P00109,Pembersih Wajah,Perawatan,12000,3,36000,0,12000,48000,Vian,Bogor,Online - Toko Hijau,2,Pending
2025-01-03,P00110,Teh,Makanan,15000,3,45000,0,25000,70000,Nia,Medan,Online - Toko Hijau,5,Failed
2025-01-03,P00111,Pembersih Lantai,Pembersih,8000,3,24000,0,10000,34000,Wira,Depok,Online - Toko Oren,4,Pending
2025-01-03,P00112,Kopi,Makanan,25000,2,50000,0,12000,62000,Ika,Bogor,Online - Toko Hijau,2,Returned
2025-01-03,P00113,Shampo,Perawatan,20000,2,40000,0,30000,70000,Aulia,Samarinda,Offline,1,Failed
2025-01-03,P00114,Shampo,Perawatan,20000,2,40000,0,0,40000,Ocha,Bandung,Online - Toko Hijau,1,Failed
2025-01-03,P00115,Pembersih Wajah,Perawatan,12000,2,24000,0,18000,42000,Rudi,Yogyakarta,Online - Toko Oren,3,Returned
2025-01-03,P00116,Pembersih Wajah,Perawatan,12000,2,24000,0,25000,49000,Fadli,Bali,Online - Toko Hijau,3,Returned
2025-01-03,P00117,Shampo,Perawatan,20000,1,20000,0,25000,45000,Deni,Bali,Online - Toko Hijau,5,Returned
2025-01-03,P00118,Pasta Gigi,Perawatan,15000,2,30000,0,25000,55000,Hadi,Bali,Online - Toko Oren,5,Pending
2025-01-03,P00119,Pembersih Wajah,Perawatan,12000,3,36000,0,25000,61000,Yusuf,Bali,Offline,2,Failed
2025-01-03,P00120,Kopi,Makanan,25000,1,25000,0,13000,38000,Maya,Tangerang,Online - Toko Hijau,4,Failed
2025-01-03,P00121,Minyak Goreng,Makanan,18000,2,36000,0,10000,46000,Zahra,Depok,Offline,3,Success
2025-01-03,P00122,Teh,Makanan,15000,1,15000,0,12000,27000,Hadi,Bekasi,Online - Toko Oren,3,Pending
2025-01-03,P00123,Pasta Gigi,Perawatan,15000,3,45000,0,13000,58000,Mutiara,Tangerang,Offline,4,Failed
2025-01-03,P00124,Sabun Mandi,Pembersih,7000,1,7000,0,10000,17000,Meli,Depok,Online - Toko Oren,2,Returned
2025-01-03,P00125,Sabun Mandi,Pembersih,7000,3,21000,0,10000,31000,Zahra,Depok,Online - Toko Hijau,1,Failed
2025-01-03,P00126,Pasta Gigi,Perawatan,15000,3,45000,0,18000,63000,Fadli,Palembang,Online - Toko Oren,3,Returned
2025-01-03,P00127,Sabun Cuci,Pembersih,5000,1,5000,0,15000,20000,Dicky,Jakarta,Offline,3,Returned
2025-01-03,P00128,Sabun Mandi,Pembersih,7000,3,21000,0,12000,33000,Gandhi,Bekasi,Online - Toko Oren,2,Pending
2025-01-03,P00129,Kopi,Makanan,25000,2,50000,0,0,50000,Ika,Bandung,Online - Toko Oren,2,Success
2025-01-03,P00130,Minyak Goreng,Makanan,18000,2,36000,0,0,36000,Mutiara,Bandung,Online - Toko Oren,2,Returned
2025-01-03,P00131,Sabun Cuci,Pembersih,5000,2,10000,0,18000,28000,Zahra,Palembang,Offline,1,Success
2025-01-03,P00132,Pasta Gigi,Perawatan,15000,3,45000,0,18000,63000,Putra,Yogyakarta,Online - Toko Hijau,4,Returned
2025-01-03,P00133,Pembersih Wajah,Perawatan,12000,1,12000,0,15000,27000,Vera,Jakarta,Online - Toko Hijau,5,Failed
2025-01-03,P00134,Sabun Cuci,Pembersih,5000,3,15000,0,18000,33000,Tegar,Yogyakarta,Online - Toko Hijau,2,Pending
2025-01-03,P00135,Sabun Mandi,Pembersih,7000,1,7000,0,15000,22000,Mutiara,Semarang,Online - Toko Oren,1,Failed
2025-01-03,P00136,Pembersih Lantai,Pembersih,8000,2,16000,0,10000,26000,Stefan,Depok,Offline,4,Returned
2025-01-03,P00137,Shampo,Perawatan,20000,2,40000,0,18000,58000,Kirana,Yogyakarta,Online - Toko Hijau,5,Failed
2025-01-03,P00138,Pembersih Lantai,Pembersih,8000,2,16000,0,22000,38000,Kiki,Makassar,Online - Toko Oren,3,Failed
2025-01-03,P00139,Minyak Goreng,Makanan,18000,2,36000,0,15000,51000,Andi,Jakarta,Offline,4,Pending
2025-01-03,P00140,Sabun Cuci,Pembersih,5000,1,5000,0,20000,25000,Eka,Surabaya,Offline,1,Returned
2025-01-03,P00141,Pasta Gigi,Perawatan,15000,2,30000,0,10000,40000,Zenia,Depok,Online - Toko Hijau,5,Returned
2025-01-03,P00142,Minyak Goreng,Makanan,18000,2,36000,0,30000,66000,Vera,Samarinda,Online - Toko Hijau,4,Pending
2025-01-03,P00143,Teh,Makanan,15000,3,45000,0,30000,75000,Elisa,Samarinda,Offline,4,Success
2025-01-03,P00144,Shampo,Perawatan,20000,1,20000,0,25000,45000,Shinta,Medan,Online - Toko Oren,2,Returned
2025-01-03,P00145,Pembersih Wajah,Perawatan,12000,3,36000,0,0,36000,Vira,Bandung,Offline,2,Returned
2025-01-03,P00146,Sabun Mandi,Pembersih,7000,3,21000,0,22000,43000,Nia,Makassar,Online - Toko Hijau,4,Success
2025-01-03,P00147,Shampo,Perawatan,20000,2,40000,0,15000,55000,Irma,Semarang,Online - Toko Oren,4,Pending
2025-01-03,P00148,Pembersih Lantai,Pembersih,8000,2,16000,0,12000,28000,Yusuf,Bogor,Offline,4,Pending
2025-01-03,P00149,Deterjen,Pembersih,10000,3,30000,0,10000,40000,Riko,Depok,Online - Toko Oren,5,Pending
2025-01-03,P00150,Teh,Makanan,15000,2,30000,0,12000,42000,Eka,Bogor,Online - Toko Hijau,2,Pending
2025-01-03,P00151,Teh,Makanan,15000,3,45000,0,22000,67000,Lestari,Makassar,Offline,3,Success
2025-01-03,P00152,Teh,Makanan,15000,2,30000,0,25000,55000,Shinta,Bali,Online - Toko Hijau,5,Success
2025-01-03,P00153,Teh,Makanan,15000,2,30000,0,25000,55000,Chandra,Bali,Online - Toko Hijau,3,Returned
2025-01-03,P00154,Shampo,Perawatan,20000,2,40000,0,18000,58000,Eka,Palembang,Online - Toko Hijau,1,Failed
2025-01-03,P00155,Pasta Gigi,Perawatan,15000,2,30000,0,12000,42000,Juli,Bekasi,Online - Toko Hijau,4,Failed
2025-01-03,P00156,Deterjen,Pembersih,10000,2,20000,0,15000,35000,Widi,Semarang,Offline,3,Success
2025-01-03,P00157,Pasta Gigi,Perawatan,15000,3,45000,0,12000,57000,Kiki,Bogor,Offline,1,Pending
2025-01-03,P00158,Sabun Cuci,Pembersih,5000,1,5000,0,15000,20000,Yusuf,Semarang,Online - Toko Hijau,3,Success
2025-01-03,P00159,Pembersih Wajah,Perawatan,12000,3,36000,0,12000,48000,Zara,Bogor,Online - Toko Hijau,5,Pending
2025-01-03,P00160,Teh,Makanan,15000,2,30000,0,30000,60000,Riko,Samarinda,Online - Toko Oren,5,Pending
2025-01-03,P00161,Kopi,Makanan,25000,3,75000,0,20000,95000,Tian,Malang,Online - Toko Hijau,4,Pending
2025-01-03,P00162,Shampo,Perawatan,20000,2,40000,0,18000,58000,Rudi,Palembang,Offline,1,Pending
2025-01-03,P00163,Pasta Gigi,Perawatan,15000,1,15000,0,25000,40000,Dina,Bali,Offline,3,Failed
2025-01-03,P00164,Sabun Cuci,Pembersih,5000,2,10000,0,0,10000,Vina,Bandung,Offline,5,Failed
2025-01-04,P00165,Deterjen,Pembersih,10000,1,10000,0,10000,20000,Mira,Depok,Offline,2,Failed
2025-01-04,P00166,Pembersih Lantai,Pembersih,8000,1,8000,0,20000,28000,Pandu,Surabaya,Online - Toko Oren,1,Failed
2025-01-04,P00167,Sabun Mandi,Pembersih,7000,3,21000,0,25000,46000,Nadia,Bali,Online - Toko Hijau,3,Failed
2025-01-04,P00168,Sabun Mandi,Pembersih,7000,2,14000,0,10000,24000,Santi,Depok,Offline,4,Failed
2025-01-04,P00169,Sabun Cuci,Pembersih,5000,2,10000,0,25000,35000,Vina,Medan,Online - Toko Hijau,5,Pending
2025-01-04,P00170,Sabun Cuci,Pembersih,5000,3,15000,0,0,15000,Vina,Bandung,Offline,3,Success
2025-01-04,P00171,Sabun Cuci,Pembersih,5000,1,5000,0,12000,17000,Deni,Bekasi,Offline,2,Returned
2025-01-04,P00172,Pembersih Lantai,Pembersih,8000,2,16000,0,30000,46000,Eka,Samarinda,Online - Toko Hijau,2,Success
2025-01-04,P00173,Pembersih Wajah,Perawatan,12000,1,12000,0,20000,32000,Irma,Malang,Online - Toko Hijau,3,Returned
2025-01-04,P00174,Shampo,Perawatan,20000,3,60000,0,10000,70000,Rian,Depok,Online - Toko Hijau,1,Success
2025-01-04,P00175,Minyak Goreng,Makanan,18000,3,54000,0,22000,76000,Cahya,Makassar,Offline,5,Failed
2025-01-04,P00176,Sabun Mandi,Pembersih,7000,1,7000,0,13000,20000,Yusuf,Tangerang,Online - Toko Oren,1,Returned
2025-01-04,P00177,Sabun Mandi,Pembersih,7000,2,14000,0,22000,36000,Ocha,Makassar,Online - Toko Hijau,3,Success
2025-01-04,P00178,Deterjen,Pembersih,10000,3,30000,0,18000,48000,Nanda,Yogyakarta,Online - Toko Oren,1,Returned
2025-01-04,P00179,Teh,Makanan,15000,2,30000,0,15000,45000,Dewa,Semarang,Online - Toko Oren,5,Pending
2025-01-04,P00180,Teh,Makanan,15000,3,45000,0,30000,75000,Krisna,Samarinda,Online - Toko Hijau,3,Pending
2025-01-04,P00181,Kopi,Makanan,25000,1,25000,0,25000,50000,Yuni,Medan,Online - Toko Oren,4,Returned
2025-01-04,P00182,Kopi,Makanan,25000,3,75000,0,12000,87000,Dicky,Bekasi,Online - Toko Oren,4,Pending
2025-01-04,P00183,Pembersih Wajah,Perawatan,12000,2,24000,0,15000,39000,Siska,Jakarta,Online - Toko Hijau,3,Pending
2025-01-04,P00184,Deterjen,Pembersih,10000,2,20000,0,15000,35000,Zenia,Semarang,Online - Toko Oren,3,Failed
2025-01-04,P00185,Pembersih Lantai,Pembersih,8000,3,24000,0,22000,46000,Vina,Makassar,Online - Toko Hijau,1,Returned
2025-01-04,P00186,Deterjen,Pembersih,10000,1,10000,0,15000,25000,Yusuf,Jakarta,Offline,1,Returned
2025-01-04,P00187,Kopi,Makanan,25000,2,50000,0,25000,75000,Ulya,Medan,Offline,3,Success
2025-01-04,P00188,Teh,Makanan,15000,2,30000,0,15000,45000,Zara,Semarang,Offline,3,Success
2025-01-04,P00189,Kopi,Makanan,25000,2,50000,0,25000,75000,Gandhi,Medan,Offline,2,Pending
2025-01-04,P00190,Sabun Mandi,Pembersih,7000,3,21000,0,25000,46000,Nico,Bali,Offline,2,Returned
2025-01-04,P00191,Sabun Cuci,Pembersih,5000,2,10000,0,30000,40000,Vian,Samarinda,Online - Toko Oren,5,Failed
2025-01-04,P00192,Sabun Mandi,Pembersih,7000,1,7000,0,12000,19000,Luki,Bekasi,Offline,5,Pending
2025-01-04,P00193,Pasta Gigi,Perawatan,15000,3,45000,0,12000,57000,Citra,Bekasi,Online - Toko Hijau,3,Pending
2025-01-04,P00194,Pasta Gigi,Perawatan,15000,2,30000,0,18000,48000,Lia,Yogyakarta,Offline,3,Pending
2025-01-04,P00195,Pembersih Lantai,Pembersih,8000,1,8000,0,10000,18000,Vina,Depok,Online - Toko Hijau,1,Returned
2025-01-04,P00196,Sabun Mandi,Pembersih,7000,1,7000,0,13000,20000,Tian,Tangerang,Online - Toko Hijau,5,Pending
2025-01-04,P00197,Minyak Goreng,Makanan,18000,3,54000,0,20000,74000,Pandu,Malang,Offline,1,Success
2025-01-04,P00198,Pembersih Wajah,Perawatan,12000,3,36000,0,30000,66000,Umar,Samarinda,Online - Toko Oren,1,Success
2025-01-04,P00199,Pembersih Wajah,Perawatan,12000,1,12000,0,10000,22000,Lestari,Depok,Online - Toko Hijau,5,Failed
2025-01-04,P00200,Pasta Gigi,Perawatan,15000,2,30000,0,18000,48000,Gandhi,Palembang,Online - Toko Oren,5,Pending
2025-01-04,P00201,Deterjen,Pembersih,10000,3,30000,0,15000,45000,Nanda,Jakarta,Offline,5,Returned
2025-01-04,P00202,Deterjen,Pembersih,10000,1,10000,0,13000,23000,Beni,Tangerang,Online - Toko Oren,1,Pending
2025-01-04,P00203,Deterjen,Pembersih,10000,2,20000,0,25000,45000,Fadli,Medan,Online - Toko Oren,1,Returned
2025-01-04,P00204,Kopi,Makanan,25000,1,25000,0,30000,55000,Umi,Samarinda,Online - Toko Hijau,4,Success
2025-01-04,P00205,Pasta Gigi,Perawatan,15000,1,15000,0,15000,30000,Bobby,Jakarta,Online - Toko Hijau,1,Success
2025-01-04,P00206,Minyak Goreng,Makanan,18000,2,36000,0,25000,61000,Petrus,Bali,Online - Toko Hijau,2,Returned
2025-01-04,P00207,Shampo,Perawatan,20000,3,60000,0,12000,72000,Putri,Bogor,Online - Toko Hijau,4,Returned
2025-01-04,P00208,Deterjen,Pembersih,10000,1,10000,0,25000,35000,Siska,Bali,Offline,5,Failed
2025-01-04,P00209,Pembersih Wajah,Perawatan,12000,1,12000,0,18000,30000,Kiki,Palembang,Online - Toko Hijau,4,Failed
2025-01-04,P00210,Minyak Goreng,Makanan,18000,1,18000,0,18000,36000,Udin,Yogyakarta,Online - Toko Hijau,3,Pending
2025-01-04,P00211,Shampo,Perawatan,20000,3,60000,0,18000,78000,Cindy,Palembang,Online - Toko Hijau,3,Failed
2025-01-04,P00212,Teh,Makanan,15000,1,15000,0,12000,27000,Jamil,Bekasi,Offline,1,Pending
2025-01-04,P00213,Pembersih Lantai,Pembersih,8000,3,24000,0,18000,42000,Elisa,Yogyakarta,Online - Toko Oren,3,Failed
