Order ID,Order Date,Customer Name,City,Product Name,Unit Price,Quantity,Discount (%),Subtotal,Discount Amount,Total Sales,Shipping Fee,Grand Total,Payment Method,Order Status,Platform,Customer Rating,Jenis Kelamin
ORD00600,2024-09-25 19:51:24,Kartika Nugroho,Samarinda,Beras - Brand B,15000,1,20,,,,43000,,Transfer Bank,,Toko Biru,3,Perempuan
ORD00433,2024-09-26 22:03:34,Bella Ramadhani,Pontianak,Bawang Merah - Brand C,40000,4,10,,,,85000,,Kartu Kredit,,Toko Ungu,3,Perempuan
ORD01113,2024-09-27 07:45:00,Citra Kurniawan,Merauke,Tepung Terigu - Brand C,14000,4,20,,,,59000,,COD,,Toko Hijau,4,Perempuan
ORD00701,2024-09-27 10:36:03,Lestari Kusuma,Palangka Raya,Minyak Goreng - Brand A,16000,2,20,,,,50000,,Transfer Bank,,Toko Ungu,4,Perempuan
ORD01151,2024-09-27 13:20:04,Dina Setiawan,Mamuju,Susu Bubuk - Brand A,45000,1,15,,,,46000,,e-Wallet,,Toko Hijau,4,Perempuan
ORD00686,2024-09-27 15:54:48,Lestari Ramadhani,Banda Aceh,Daging Ayam - Brand A,35000,5,10,,,,18000,,COD,,Toko Ungu,2,Perempuan
ORD00862,2024-09-27 16:04:25,Eka Hidayat,Samarinda,Bawang Merah - Brand B,35000,5,10,,,,43000,,COD,,TokTok,2,Perempuan
ORD00193,2024-09-28 02:14:03,Aulia Iskandar,Surabaya,Beras - Brand A,14000,4,20,,,,74000,,Kartu Kredit,,Toko Ungu,1,Perempuan
ORD00193,2024-09-28 02:14:03,Aulia Iskandar,Surabaya,Gula Pasir - Brand A,16000,4,15,,,,0,,Kartu Kredit,,Toko Ungu,1,Perempuan
ORD01059,2024-09-28 05:21:23,Tono Saputra,Serang,Beras - Brand A,14000,4,10,,,,57000,,Kartu Kredit,,TokTok,4,Laki-laki
ORD01576,2024-09-28 06:03:12,Putri Kurniawan,Nabire,Garam - Brand A,4000,3,10,,,,89000,,COD,,Toko Ungu,4,Perempuan
ORD00503,2024-09-28 07:23:01,Dina Kurniawan,Sorong,Tepung Terigu - Brand A,10000,3,5,,,,87000,,COD,,Toko Ungu,2,Perempuan
ORD01395,2024-09-28 08:38:41,Putri Puspita,Kendari,Gula Pasir - Brand B,17000,4,5,,,,59000,,Transfer Bank,,Toko Orange,1,Perempuan
ORD00022,2024-09-28 17:09:28,Arif Santoso,Manokwari,Garam - Brand A,4000,4,15,,,,18000,,Transfer Bank,,Toko Orange,1,Laki-laki
ORD00521,2024-09-29 06:41:54,Tono Fauziah,Serang,Susu Bubuk - Brand C,55000,4,0,,,,57000,,COD,,Toko Orange,4,Laki-laki
ORD01377,2024-09-29 08:27:48,Aulia Santoso,Bandar Lampung,Telur Ayam - Brand B,25000,2,15,,,,28000,,Transfer Bank,,Toko Biru,3,Perempuan
ORD01726,2024-09-29 09:41:34,Arif Iskandar,Serang,Garam - Brand C,6000,5,20,,,,57000,,COD,,Toko Hijau,5,Laki-laki
ORD01283,2024-09-29 10:34:04,Hendra Ramadhani,Jayapura,Daging Ayam - Brand C,45000,2,15,,,,30000,,Kartu Kredit,,Toko Orange,5,Laki-laki
ORD00828,2024-09-29 12:19:33,Budi Wijaya,Gorontalo,Bawang Merah - Brand B,35000,1,15,,,,80000,,e-Wallet,,Toko Orange,5,Laki-laki
ORD01079,2024-09-29 21:45:21,Erna Hidayat,Bandar Lampung,Beras - Brand A,14000,5,5,,,,28000,,e-Wallet,,TokTok,3,Perempuan
ORD01481,2024-09-30 02:33:55,Arif Iskandar,Serang,Beras - Brand A,14000,5,20,,,,57000,,COD,,Toko Ungu,1,Laki-laki
ORD01084,2024-09-30 04:17:40,Dewi Fauziah,Samarinda,Minyak Goreng - Brand C,18000,1,5,,,,43000,,e-Wallet,,Toko Ungu,4,Perempuan
ORD00104,2024-09-30 06:11:33,Sari Syahputra,Merauke,Beras - Brand A,14000,3,15,,,,59000,,Transfer Bank,,Toko Orange,2,Perempuan
ORD00104,2024-09-30 06:11:33,Sari Syahputra,Merauke,Garam - Brand A,4000,2,15,,,,0,,Transfer Bank,,Toko Orange,2,Perempuan
ORD01233,2024-09-30 06:55:42,Putri Ananda,Tanjung Selor,Telur Ayam - Brand C,28000,3,20,,,,26000,,COD,,TokTok,1,Perempuan
ORD01169,2024-09-30 15:24:46,Clara Kusuma,Jakarta,Beras - Brand C,16000,4,20,,,,97000,,Transfer Bank,,Toko Ungu,2,Perempuan
ORD00624,2024-09-30 18:37:15,Clara Budiman,Manado,Telur Ayam - Brand B,25000,2,5,,,,93000,,Transfer Bank,,Toko Orange,3,Perempuan
ORD00062,2024-09-30 20:18:00,Arif Iskandar,Serang,Daging Ayam - Brand B,40000,4,10,,,,57000,,Kartu Kredit,,TokTok,1,Laki-laki
ORD00928,2024-09-30 21:38:47,Clara Utami,Pangkalpinang,Telur Ayam - Brand B,25000,5,5,,,,18000,,COD,,Toko Ungu,3,Perempuan
ORD01420,2024-09-30 22:05:08,Ani Wijaya,Tanjungpinang,Bawang Merah - Brand C,40000,5,5,,,,48000,,Kartu Kredit,,TokTok,4,Perempuan
ORD00885,2024-10-01 00:45:09,Citra Budiman,Bandung,Bawang Merah - Brand B,35000,5,0,,,,0,,COD,,Toko Biru,1,Perempuan
ORD00197,2024-10-01 17:26:21,Vina Fauziah,Merauke,Garam - Brand B,5000,3,10,,,,59000,,Kartu Kredit,,Toko Ungu,3,Perempuan
ORD01781,2024-10-01 23:59:41,Galih Iskandar,Ambon,Minyak Goreng - Brand C,18000,5,20,,,,49000,,Kartu Kredit,,Toko Hijau,4,Laki-laki
ORD00741,2024-10-02 06:56:13,Bella Ananda,Samarinda,Garam - Brand B,5000,5,15,,,,43000,,Transfer Bank,,TokTok,2,Perempuan
ORD01544,2024-10-02 17:21:54,Hana Wijaya,Sorong,Beras - Brand B,15000,2,20,,,,87000,,Transfer Bank,,TokTok,5,Perempuan
ORD00800,2024-10-02 19:47:09,Kartika Ananda,Pekanbaru,Telur Ayam - Brand B,25000,5,15,,,,49000,,COD,,Toko Hijau,2,Perempuan
ORD00237,2024-10-03 00:40:16,Clara Ananda,Bandung,Gula Pasir - Brand A,16000,4,0,,,,0,,Transfer Bank,,TokTok,4,Perempuan
ORD00632,2024-10-03 01:53:19,Putri Ananda,Tanjung Selor,Garam - Brand A,4000,1,20,,,,26000,,COD,,Toko Biru,1,Perempuan
ORD01455,2024-10-03 08:23:26,Qori Halim,Pekanbaru,Tepung Terigu - Brand A,10000,4,0,,,,49000,,Kartu Kredit,,Toko Hijau,2,Perempuan
ORD00198,2024-10-03 10:43:11,Zahra Setiawan,Banjarbaru,Garam - Brand C,6000,1,5,,,,55000,,Transfer Bank,,Toko Ungu,4,Perempuan
ORD01556,2024-10-03 18:29:14,Dewi Puspita,Jayapura,Telur Ayam - Brand B,25000,2,0,,,,30000,,e-Wallet,,Toko Orange,5,Perempuan
ORD01643,2024-10-03 21:25:43,Budi Hidayat,Wamena,Susu Bubuk - Brand A,45000,2,15,,,,15000,,Transfer Bank,,Toko Ungu,2,Laki-laki
ORD00422,2024-10-03 23:12:06,Gita Utami,Pangkalpinang,Garam - Brand B,5000,5,5,,,,18000,,COD,,Toko Ungu,1,Perempuan
ORD00200,2024-10-04 09:55:50,Zahra Maulana,Wamena,Telur Ayam - Brand A,22000,4,5,,,,15000,,e-Wallet,,Toko Hijau,3,Perempuan
ORD00029,2024-10-04 12:04:25,Galih Halim,Samarinda,Gula Pasir - Brand C,18000,4,5,,,,43000,,Kartu Kredit,,TokTok,3,Laki-laki
ORD00612,2024-10-04 18:40:22,Sari Puspita,Jakarta,Bawang Merah - Brand A,30000,5,0,,,,97000,,Kartu Kredit,,Toko Ungu,3,Perempuan
ORD01558,2024-10-05 03:59:20,Tono Fauziah,Serang,Tepung Terigu - Brand A,10000,1,10,,,,57000,,Transfer Bank,,Toko Biru,4,Laki-laki
ORD00874,2024-10-05 09:28:53,Bella Hidayat,Medan,Bawang Merah - Brand B,35000,4,15,,,,79000,,Kartu Kredit,,Toko Orange,1,Perempuan
ORD01816,2024-10-05 12:20:38,Arif Rahmawati,Palangka Raya,Beras - Brand B,15000,1,15,,,,50000,,e-Wallet,,Toko Hijau,4,Laki-laki
ORD01610,2024-10-05 20:34:44,Ani Ramadhani,Sofifi,Garam - Brand B,5000,3,15,,,,50000,,COD,,Toko Hijau,1,Perempuan
ORD01163,2024-10-05 23:38:00,Clara Utami,Pangkalpinang,Daging Ayam - Brand C,45000,1,5,,,,18000,,Transfer Bank,,Toko Ungu,4,Perempuan
ORD00114,2024-10-06 06:22:34,Vina Halim,Jambi,Daging Ayam - Brand A,35000,1,10,,,,87000,,Transfer Bank,,Toko Biru,1,Perempuan
ORD00679,2024-10-06 07:23:28,Sari Puspita,Jakarta,Telur Ayam - Brand C,28000,4,0,,,,97000,,COD,,Toko Orange,2,Perempuan
ORD00186,2024-10-06 10:25:57,Dewi Ananda,Palangka Raya,Minyak Goreng - Brand C,18000,1,20,,,,50000,,Kartu Kredit,,TokTok,3,Perempuan
ORD00186,2024-10-06 10:25:57,Dewi Ananda,Palangka Raya,Garam - Brand A,4000,3,10,,,,0,,Kartu Kredit,,TokTok,3,Perempuan
ORD00699,2024-10-06 12:59:49,Ani Maulana,Nabire,Minyak Goreng - Brand B,17000,5,5,,,,89000,,COD,,Toko Hijau,4,Perempuan
ORD01751,2024-10-06 13:57:37,Dimas Budiman,Jakarta,Daging Ayam - Brand A,35000,4,0,,,,97000,,Kartu Kredit,,Toko Hijau,1,Laki-laki
ORD01833,2024-10-06 14:16:57,Citra Maulana,Bengkulu,Daging Ayam - Brand B,40000,4,0,,,,72000,,COD,,Toko Biru,3,Perempuan
ORD00378,2024-10-06 22:59:47,Citra Maulana,Bengkulu,Gula Pasir - Brand A,16000,1,15,,,,72000,,COD,,Toko Biru,1,Perempuan
ORD00215,2024-10-07 04:02:00,Dewi Hidayat,Manokwari,Susu Bubuk - Brand A,45000,4,10,,,,18000,,Transfer Bank,,Toko Orange,1,Perempuan
ORD00215,2024-10-07 04:02:00,Dewi Hidayat,Manokwari,Beras - Brand C,16000,3,10,,,,0,,Transfer Bank,,Toko Orange,1,Perempuan
ORD00336,2024-10-07 04:03:46,Vina Saputra,Gorontalo,Tepung Terigu - Brand A,10000,3,5,,,,80000,,e-Wallet,,Toko Hijau,2,Perempuan
ORD01674,2024-10-07 10:42:33,Rizky Budiman,Gorontalo,Minyak Goreng - Brand B,17000,5,15,,,,80000,,COD,,Toko Hijau,1,Laki-laki
ORD00533,2024-10-07 14:55:21,Hana Wijaya,Sorong,Minyak Goreng - Brand B,17000,4,10,,,,87000,,COD,,TokTok,1,Perempuan
ORD00128,2024-10-08 00:21:09,Fitri Ramadhani,Surabaya,Tepung Terigu - Brand C,14000,2,5,,,,74000,,COD,,Toko Ungu,1,Perempuan
ORD00956,2024-10-08 04:45:52,Dewi Pradipta,Pontianak,Garam - Brand C,6000,5,15,,,,85000,,e-Wallet,,Toko Hijau,2,Perempuan
ORD01063,2024-10-08 10:05:11,Sari Puspita,Jakarta,Telur Ayam - Brand A,22000,4,20,,,,97000,,e-Wallet,,Toko Ungu,3,Perempuan
ORD01770,2024-10-08 12:39:17,Rizky Ramadhani,Pangkalpinang,Tepung Terigu - Brand C,14000,4,10,,,,18000,,e-Wallet,,TokTok,3,Laki-laki
ORD00455,2024-10-08 17:56:21,Bella Iskandar,Kendari,Minyak Goreng - Brand A,16000,5,0,,,,59000,,COD,,Toko Hijau,3,Perempuan
ORD01052,2024-10-08 21:09:10,Fitri Wijaya,Serang,Susu Bubuk - Brand C,55000,2,0,,,,57000,,Transfer Bank,,Toko Hijau,5,Perempuan
ORD00155,2024-10-09 01:57:43,Dewi Santoso,Mamuju,Minyak Goreng - Brand C,18000,3,15,,,,46000,,COD,,Toko Orange,1,Perempuan
ORD00155,2024-10-09 01:57:43,Dewi Santoso,Mamuju,Daging Ayam - Brand A,35000,3,20,,,,0,,COD,,Toko Orange,1,Perempuan
ORD00716,2024-10-09 03:37:45,Hendra Wijaya,Wamena,Daging Ayam - Brand B,40000,2,15,,,,15000,,COD,,TokTok,5,Laki-laki
ORD01014,2024-10-09 04:44:18,Wahyu Pradipta,Jakarta,Daging Ayam - Brand A,35000,2,5,,,,97000,,COD,,Toko Ungu,5,Laki-laki
ORD01308,2024-10-09 05:40:05,Bayu Fauziah,Surabaya,Telur Ayam - Brand A,22000,5,0,,,,74000,,e-Wallet,,Toko Biru,5,Laki-laki
ORD00585,2024-10-09 07:23:53,Gita Syahputra,Merauke,Susu Bubuk - Brand B,50000,3,5,,,,59000,,COD,,TokTok,1,Perempuan
ORD01638,2024-10-09 19:01:20,Erna Hidayat,Bandar Lampung,Garam - Brand B,5000,1,5,,,,28000,,Transfer Bank,,Toko Hijau,2,Perempuan
ORD01844,2024-10-09 20:03:03,Joko Ananda,Makassar,Telur Ayam - Brand B,25000,5,15,,,,84000,,e-Wallet,,Toko Ungu,2,Laki-laki
ORD00023,2024-10-09 21:22:08,Nanda Fauziah,Merauke,Minyak Goreng - Brand C,18000,2,20,,,,59000,,e-Wallet,,Toko Hijau,1,Laki-laki
ORD01723,2024-10-10 02:29:00,Gita Wijaya,Sorong,Susu Bubuk - Brand B,50000,1,15,,,,87000,,e-Wallet,,Toko Ungu,5,Perempuan
ORD00286,2024-10-10 10:39:13,Fitri Rahmawati,Medan,Daging Ayam - Brand A,35000,1,10,,,,79000,,COD,,Toko Ungu,1,Perempuan
ORD00927,2024-10-10 21:12:29,Ani Fauziah,Jakarta,Bawang Merah - Brand B,35000,2,10,,,,97000,,e-Wallet,,Toko Ungu,1,Perempuan
ORD00754,2024-10-11 00:09:30,Qori Syahputra,Jayapura,Beras - Brand B,15000,5,20,,,,30000,,Transfer Bank,,Toko Biru,4,Perempuan
ORD00014,2024-10-11 08:06:16,Nanda Setiawan,Sorong,Tepung Terigu - Brand C,14000,4,5,,,,87000,,Kartu Kredit,,TokTok,4,Laki-laki
ORD00014,2024-10-11 08:06:16,Nanda Setiawan,Sorong,Minyak Goreng - Brand C,18000,3,0,,,,0,,Kartu Kredit,,TokTok,4,Laki-laki
ORD00746,2024-10-11 11:14:07,Aulia Rahmawati,Jambi,Minyak Goreng - Brand C,18000,1,20,,,,87000,,Transfer Bank,,TokTok,3,Perempuan
ORD00229,2024-10-11 14:13:04,Fitri Iskandar,Kendari,Daging Ayam - Brand C,45000,1,10,,,,59000,,e-Wallet,,Toko Orange,4,Perempuan
ORD00229,2024-10-11 14:13:04,Fitri Iskandar,Kendari,Daging Ayam - Brand C,45000,1,0,,,,0,,e-Wallet,,Toko Orange,4,Perempuan
ORD01201,2024-10-11 21:35:53,Gita Saputra,Bengkulu,Daging Ayam - Brand B,40000,3,5,,,,72000,,e-Wallet,,Toko Biru,2,Perempuan
ORD00156,2024-10-12 00:27:29,Dina Kurniawan,Sorong,Susu Bubuk - Brand B,50000,5,15,,,,87000,,Transfer Bank,,Toko Hijau,1,Perempuan
ORD00640,2024-10-12 02:04:02,Putri Wijaya,Jayapura,Beras - Brand B,15000,3,20,,,,30000,,COD,,Toko Biru,5,Perempuan
ORD01106,2024-10-12 05:03:20,Vina Hidayat,Nabire,Gula Pasir - Brand A,16000,4,15,,,,89000,,COD,,TokTok,2,Perempuan
ORD01630,2024-10-13 00:33:22,Bayu Maulana,Nabire,Telur Ayam - Brand A,22000,4,5,,,,89000,,Transfer Bank,,TokTok,5,Laki-laki
ORD01485,2024-10-13 02:10:05,Ani Ananda,Serang,Susu Bubuk - Brand C,55000,1,5,,,,57000,,COD,,Toko Ungu,2,Perempuan
ORD00868,2024-10-13 07:23:50,Eka Wijaya,Tanjung Selor,Gula Pasir - Brand B,17000,3,20,,,,26000,,e-Wallet,,Toko Hijau,3,Perempuan
ORD01149,2024-10-13 09:20:39,Putri Wijaya,Jayapura,Garam - Brand C,6000,3,15,,,,30000,,e-Wallet,,Toko Orange,5,Perempuan
ORD01707,2024-10-14 00:28:33,Oka Santoso,Manokwari,Beras - Brand A,14000,1,0,,,,18000,,COD,,Toko Orange,5,Laki-laki
ORD01697,2024-10-14 02:08:27,Rizky Ramadhani,Pangkalpinang,Susu Bubuk - Brand A,45000,4,15,,,,18000,,Transfer Bank,,Toko Orange,5,Laki-laki
ORD00483,2024-10-14 06:50:57,Bella Budiman,Palembang,Tepung Terigu - Brand A,10000,3,0,,,,17000,,Kartu Kredit,,Toko Orange,3,Perempuan
